Task size,Pages,Task size local ,Task size rem,Distance,Comtime,Decision
72,9,1118.94,2399.44,30,11,0
72,9,1118.94,2399.44,31,11,0
72,9,1118.94,2399.44,32,11.2,0
72,9,1118.94,2399.44,33,11.4,0
72,9,1118.94,2399.44,34,11.4,0
72,9,1118.94,2399.44,35,11.5,0
72,9,1118.94,2399.44,36,11.5,0
72,9,1118.94,2399.44,37,11.6,0
72,9,1118.94,2399.44,38,12,0
72,9,1118.94,2399.44,39,12.2,0
72,9,1118.94,2399.44,40,12.5,0
82,13,1412.91,3131.66,1,5.5,1
82,13,1412.91,3131.66,2,5.5,1
82,13,1412.91,3131.66,3,5.8,0
82,13,1412.91,3131.66,4,5.9,0
82,13,1412.91,3131.66,5,5.9,0
82,13,1412.91,3131.66,6,6,0
82,13,1412.91,3131.66,7,6,0
82,13,1412.91,3131.66,8,6,0
82,13,1412.91,3131.66,9,6.3,0
82,13,1412.91,3131.66,10,6.3,0
82,13,1412.91,3131.66,11,6.5,0
82,13,1412.91,3131.66,12,6.4,0
82,13,1412.91,3131.66,13,6.4,0
82,13,1412.91,3131.66,14,6.5,0
82,13,1412.91,3131.66,15,6.5,0
82,13,1412.91,3131.66,16,6.5,0
82,13,1412.91,3131.66,17,6.7,0
82,13,1412.91,3131.66,18,7.1,0
82,13,1412.91,3131.66,19,7.7,0
82,13,1412.91,3131.66,20,8,0
82,13,1412.91,3131.66,21,8,0
82,13,1412.91,3131.66,22,8.1,0
82,13,1412.91,3131.66,23,8.4,0
82,13,1412.91,3131.66,24,8.6,0
82,13,1412.91,3131.66,25,8.8,0
82,13,1412.91,3131.66,26,9.1,0
82,13,1412.91,3131.66,27,9.3,0
82,13,1412.91,3131.66,28,10.1,0
82,13,1412.91,3131.66,29,10.4,0
82,13,1412.91,3131.66,30,11,0
82,13,1412.91,3131.66,31,11,0
82,13,1412.91,3131.66,32,11.2,0
82,13,1412.91,3131.66,33,11.4,0
82,13,1412.91,3131.66,34,11.4,0
82,13,1412.91,3131.66,35,11.5,0
82,13,1412.91,3131.66,36,11.5,0
82,13,1412.91,3131.66,37,11.6,0
82,13,1412.91,3131.66,38,12,0
82,13,1412.91,3131.66,39,12.2,0
82,13,1412.91,3131.66,40,12.5,0
88,17,1690.38,2934.07,1,5.5,1
88,17,1690.38,2934.07,2,5.5,1
88,17,1690.38,2934.07,3,5.8,1
88,17,1690.38,2934.07,4,5.9,1
88,17,1690.38,2934.07,5,5.9,1
88,17,1690.38,2934.07,6,6,1
88,17,1690.38,2934.07,7,6,1
88,17,1690.38,2934.07,8,6,1
88,17,1690.38,2934.07,9,6.3,1
88,17,1690.38,2934.07,10,6.3,1
88,17,1690.38,2934.07,11,6.5,1
88,17,1690.38,2934.07,12,6.4,1
88,17,1690.38,2934.07,13,6.4,1
88,17,1690.38,2934.07,14,6.5,1
88,17,1690.38,2934.07,15,6.5,1
88,17,1690.38,2934.07,16,6.5,1
88,17,1690.38,2934.07,17,6.7,1
88,17,1690.38,2934.07,18,7.1,1
88,17,1690.38,2934.07,19,7.7,1
88,17,1690.38,2934.07,20,8,1
88,17,1690.38,2934.07,21,8,1
88,17,1690.38,2934.07,22,8.1,1
88,17,1690.38,2934.07,23,8.4,1
88,17,1690.38,2934.07,24,8.6,1
88,17,1690.38,2934.07,25,8.8,1
88,17,1690.38,2934.07,26,9.1,0
88,17,1690.38,2934.07,27,9.3,0
88,17,1690.38,2934.07,28,10.1,0
88,17,1690.38,2934.07,29,10.4,0
88,17,1690.38,2934.07,30,11,0
88,17,1690.38,2934.07,31,11,0
88,17,1690.38,2934.07,32,11.2,0
88,17,1690.38,2934.07,33,11.4,0
88,17,1690.38,2934.07,34,11.4,0
88,17,1690.38,2934.07,35,11.5,0
88,17,1690.38,2934.07,36,11.5,0
88,17,1690.38,2934.07,37,11.6,0
88,17,1690.38,2934.07,38,12,0
88,17,1690.38,2934.07,39,12.2,0
